ID,Bearbeiter 1,Bearbeiter 2,Title,Authors,DOI,Jahr,Track,Keywords,Research question,Goal of the paper,Motivation of the Paper,Outcome of the Paper,Type of inquiry 1,Type of inquiry 2,Type of Theory,Emphasis,Formal concepts,Algorithms,Hypothesis,Independent Variables,Dependent Variables,Type of Artefact 1,Research Method 1,Research Method 2,Research Method 3,Research Method 4,Type of data,Total participants count,Students Count,Practitioners Count,Data accessibility,Data Metadata,Material accessibility,Evaluation Method 1,Evaluation Method 2,Evaluation Method 3,Evaluation Method 4,Threats to Validity 1,Threats to Validity 2,Threats to Validity 3,Threats to Validity 4,Existence,Availability,Type of Artefact 2,Research Method 1.1,Research Method 2.1,Research Method 3.1,Research Method 4.1,Type of data.1,Total participants count.1,Students Count.1,Practitioners Count.1,Data format,Data accessibility.1,Data Metadata.1,Material accessibility.1,Data License.1,Evaluation Method 1.1,Evaluation Method 2.1,Evaluation Method 3.1,Evaluation Method 4.1,Threats to Validity 1.1,Threats to Validity 2.1,Threats to Validity 3.1,Threats to Validity 4.1,Existence.1,Availability.1,Comments
50.0,MW,MH,"Weighing the Pros and Cons: Process
Discovery with Negative Examples","Tijs Slaats, Søren Debois, Christoffer Olling Back",https://doi.org/10.1007/978-3-030-85469-0_6,2021.0,Process Discovery,"Process mining, Binary classification, Negative examples, Labelled event logs",not existing,"Concretely, we (1) present a formalisation of process discovery as a binary classification problem; (2) provide cases with negative examples from industry, including real-life logs; (3) propose the Rejection Miner binary classification procedure, applicable to any process notation that has a suitable syntactic composition operator; and (4) apply this miner to the real world logs obtained from our industry partner, showing increased output model quality in terms of accuracy and model size.","Contemporary process discovery methods take as inputs only positive examples of process executions, and so they are one-class classification algorithms. However, we have found negative examples to also be available in industry, hence we propose to treat process discovery as a binary classification problem.","We provided a formal account of when binary miners exist; proposed the Rejection Miner; introduced real-world cases of negative examples; and compared the Rejection Miner to contemporary miners for various notations, finding an increase in accuracy and, in particular, output model simplicity.",Information systems engineering,Formal science,Formal theory,Both,Yes,Yes,"Yes, propositions",,,Technique,Formal Proof,Design (Science/Engineering),Case Study,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,,,,,"Yes, in the paper",,No,,Benchmark,,,,None,,,,Yes,Yes,
51.0,YZ,MH,"A Method for Debugging Process
Discovery Pipelines to Analyze the
Consistency of Model Properties","Christopher Klinkmüller, Alexander Seeliger, Richard Müller,
Luise Pufahl, Ingo Weber",https://doi.org/10.1007/978-3-030-85469-0_7,2021.0,Process Discovery,"Process mining, Discovery, Uncertainty & sensitivity analysis",not existing,"To this end, we propose a method to investigate the consistency of model properties by means of uncertainty and sensitivity analysis. Our primary goal is to enable what-if analyses in which the reliability of insights is assessed by examining relationships between pipeline parameters and model properties","While pipeline operations are necessary to manage log imperfections and complexity, they might, however, influence the nature of the discovered process model and its properties. Ultimately, not considering this possibility can negatively affect downstream decision making.","In this work we presented a first framework for debugging of process discovery pipelines. [...] Next, we proposed a debugging framework which relies on uncertainty and sensitivity analysis, in order to assist analysts in assessing the consistency of their insights and to quantify the contribution of pipeline parameters to potential inconsistencies.",Information systems engineering,,Formal theory,Theory,Yes,No,"Yes, assumption",,,Framework,Design (Science/Engineering),,,,Real-world data,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,0,0.0,0,,"Yes, in the paper",,"Yes, in the paper",,Technical Experiment,,,,External Validity,Ecological Validity,Repeatability,,Yes,Yes,
52.0,YZ,MH,"Extracting Decision Models from Textual
Descriptions of Processes","Luis Quishpi, Josep Carmona,  Lluís Padró",https://doi.org/10.1007/978-3-030-85469-0_8,2021.0,Process Discovery,not existing,not existing,"The present paper tries to continue on our previous work on extracting process information from textual descriptions. Now the focus is on extracting complete DMN specifications from textual documents, i.e., including the two main aforementioned parts: dependencies and decision logic.","Due to its importance, standard notations like DMN have appeared in recent years to serve as a central resource for synchronizing people and systems with respect to decisions. However, the modeling of DMN specifications can be tedious and error-prone, hampering its adoption in practice.","The technique, grounded in natural language processing combined with tailored syntactic patterns, allows extracting both the decision requirements and the decision logic described in a text.",Information systems engineering,,Formal theory,Artefact,No,No,No,,,Framework,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Other,0,0.0,0,,"Yes, in the paper",,No,,Verification,,,,None,,,,Yes,Yes,
53.0,YZ,MH,"Robust and Generalizable Predictive
Models for Business Processes","Praveen Venkateswaran, Vinod Muthusamy, Nalini Venkatasubramanian",https://doi.org/10.1007/978-3-030-85469-0_9,2021.0,Predictive Process Monitoring,not existing,not existing,"In this work, we present RoGen, an approach to train robust predictive models that can identify these spurious correlations and generalize to data with differing distributions.","However, many real-world processes can have gradual or sudden changes, and logs themselves may be associated with different versions of process models modified over time, or customized by different departments with different policies. These can introduce spurious biases and correlations in the data, which can influence predictive models during training and adversely impact their accuracy.","In this paper, we present a novel approach to train predictive models for business processes that are robust and generalizable in the presence of spurious data correlations. ",Information systems engineering,,Formal theory,Both,Yes,Yes,No,,,Method,Design (Science/Engineering),,,,,,,,No,,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,0,0.0,0,,"Yes, in the paper",,"Yes, in the paper",,Benchmark,,,,None,,,,Yes,Yes,
54.0,YZ,MH,"Incremental Predictive Process
Monitoring: The Next Activity Case","Stephen Pauwels, Toon Calders",https://doi.org/10.1007/978-3-030-85469-0_10,2021.0,Predictive Process Monitoring,"Business process, Event prediction, Incremental learning, Neural networks, Dynamic Bayesian Network",not existing,"In this paper, we present incremental learning strategies for updating these existing models that do not require fully retraining them, hence reducing the number of computational resources needed while still maintaining a more consistent and correct view of the process in its current form.","Real-life processes, however, are often dynamic and prone to changes over time. Therefore, all state-of-the-art methods need regular retraining on new data to be kept up to date. It is, however, not straightforward to determine when to retrain nor what data to use [...].",We changed the standard way of evaluating the performance of the methods from using a static training and testing part of the data to a way that we can use all previous events to help predict the next event.,Information systems engineering,,Formal theory,Both,Yes,No,No,,,Model,Design (Science/Engineering),,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,None,,,,Real-world data,0,0.0,0,,"Yes, in the paper",,No,,Benchmark,,,,None,,,,Yes,Yes,Artefact 1 type of data additional mathematical formular
55.0,YZ,MH,"Learning Uncertainty with Artificial
Neural Networks for Improved Remaining
Time Prediction of Business Processes","Hans Weytjens, Jochen De Weerdt",https://doi.org/10.1007/978-3-030-85469-0_11,2021.0,Predictive Process Monitoring,"Process mining, Remaining time prediction, Bayesian neural networks, Concrete dropout, Uncertainty, Heteroscedasticity, Convolutional neural networks, Long short-term memory models",not existing,"The uncertainty of predictions is the subject of this paper. Our core contribution is the introduction of NN-based uncertainty estimation techniques including heteroscedasticity learning and loss attenuation, concrete dropout and Bayesian neural networks (BNNs) to predictive process monitoring.","A related, consequential problem is that NNs are unaware of the uncertainty of their predictions. They will always make a prediction, even when confronted with inputs they were never trained on. This can lead to potentially expensive or even catastrophic mistakes. Uncertainty awareness would therefore be a tremendous asset.","[...] this paper shows how dropout, concrete dropout and BNNs generally contribute to more accurate remaining time predictions.",Information systems engineering,,Formal theory,Artefact,Yes,No,No,,,Technique,Design (Science/Engineering),,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,0,0.0,0,,"Yes, in the paper",,"Yes, in the paper",,Benchmark,,,,None,,,,Yes,Yes,3rd Artefact Report
56.0,YZ,MH,"Zoom and Enhance: Action Refinement
via Subprocesses in Timed Declarative
Processes","Håkon Normann, Søren Debois, Tijs Slaats, Thomas T. Hildebrandt ",https://doi.org/10.1007/978-3-030-85469-0_12,2021.0,Data- and Time-awareness in BPM,"DCR graphs, Subprocesses, Action refinement, Decomposition",not existing,"This paper addresses the open technical problems of evolving executable, event-based process models by refinement, that is, by iteratively expanding a model until it has the required level of detail.",[...] work on defining subprocesses in this space did not explain how to refine single actions into subprocesses in a semantics preserving fashion.,"We have in this paper introduced and demonstrated compositional, single-instance subprocesses for timed DCR models that fit with a formal notion of action refinement. ",Formal science,,Formal theory,Theory,Yes,No,"Yes, propositions",,,Technique,Formal Proof,Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
57.0,MW,MH,"Delta-BPMN: A Concrete Language and Verifier
for Data-Aware BPMN","Silvio Ghilardi, Alessandro Gianola, Marco Montali, Andrey Rivkin",https://doi.org/10.1007/978-3-030-85469-0_13,2021.0,Data- and Time-awareness in BPM,"Data-aware processes, BPMN, Model checking",not existing,"In this work, we propose delta-BPMN – a verifiable operational framework for data-aware processes that employs (block-structured) BPMN to capture the process backbone, and a SQL- based language for representing and manipulating volatile and persistent data.","The increasing recognition of the need for integrating data and processes, both at conceptual and system levels, raises a new demand for standard-friendly, verifiable data-aware process modeling languages. So far, a few proposals in this area have largely focused on either novel approaches or conceptual frameworks that lack sufficient tool support.","We have introduced a SQL-based language for modeling and manipulating volatile and persistent data, and demonstrated how it can be incorporated into the existing BPMN standard, resulting in a language for modeling data-aware BPMN that we called delta- BPMN.",Information systems engineering,Meta-analysis,Formal theory,Artefact,No,No,No,,,Language,Design (Science/Engineering),,,,,,,,No,,No,Motivating Example,,,,None,,,,,,Framework,Design (Science/Engineering),,,,,,,,,No,,No,,Motivating Example,,,,None,,,,Yes,Yes,3rd Artefact: Design Concepts; 4th Artefact: Prototype
58.0,YZ,MH,"A Real-Time Method for Detecting
Temporary Process Variants in Event
Log Data","Sudhanshu Chouhan, Anna Wilbik, Remco Dijkman",https://doi.org/10.1007/978-3-030-85469-0_14,2021.0,Data- and Time-awareness in BPM,"Process discovery, Fuzzy clustering, Process variant",not existing,"To fill this gap, this paper proposes a method to discover, in real time, temporary and permanent changes to the process from event log data, in addition to anomalies. The method classifies cases in an event log into four categories:","Such mistakes and changes in the process can introduce anomalies and deviations in the event logs, which in turn introduce temporary and periodic process variants. Early identification of such deviations from the most common types of cases can help an organization to act on them.","Since the method proposed in this paper is able to cluster any new kind of case in real-time, it also provides a basis for providing explanation about when certain types of cases are used in a process. ",Information systems engineering,,Formal theory,Artefact,Yes,Yes,No,,,Method,Design (Science/Engineering),,,,,,,,No,,No,Verification,,,,None,,,,Yes,No,Prototype,None,,,,Both,0,0.0,0,,"Yes, in the paper",,No,,Technical Experiment,,,,None,,,,Yes,No,
59.0,YZ,MH,"CoCoMoT: Conformance Checking
of Multi-perspective Processes via SMT","Paolo Felli, Alessandro Gianola, Marco Montali, Andrey Rivkin,
and Sarah Winkler",https://doi.org/10.1007/978-3-030-85469-0_15,2021.0,Conformance Checking,not existing,not existing,"In this paper, we attack this challenging problem by considering processes that combine the data and control-flow dimensions. In particular, we adopt data Petri nets (DPNs) as the underlying reference formalism, and show how solid, well-established automated reasoning techniques can be effectively employed for computing conformance metrics and data-aware alignments. ","Conformance checking is a key process mining task for comparing the expected behavior captured in a process model and the actual behavior recorded in a log. While this problem has been extensively studied for pure control-flow processes, conformance checking with multi-perspective processes is still in its infancy.","Besides the several technical results provided in the paper, the core contribution of CoCoMoT is to connect the area of (multi-perspective) conformance checking with that of declarative problem solving via SMT. This offers great potential for homogeneously tackling a variety of related problems within a single framework with a solid theoretical basis and several state-of-the-art algorithmic techniques [...].",Formal science,Information systems engineering,Formal theory,Theory,Yes,No,No,,,Technique,Formal Proof,Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,0,0.0,0,,"Yes, in the paper",,"Yes, in the paper",,Technical Experiment,,,,None,,,,Yes,Yes,
60.0,YZ,MH,"Aligning Data-Aware Declarative Process
Models and Event Logs","Giacomo Bergami, Fabrizio Maria Maggi, Andrea Marrella, Marco Montali  ",https://doi.org/10.1007/978-3-030-85469-0_16,2021.0,Conformance Checking,"Conformance checking, Alignments, Data-aware declarative models, Multi-perspective process mining, Automated planning",not existing,"To tackle this research gap, we propose a novel approach for aligning event logs and data-aware declarative models based on the reduction of this problem into a data-agnostic alignment problem.","Nonetheless, no technique is currently able to provide trace repair solutions in the context of data-aware declarative process models: current approaches either focus on procedural models or numerically quantify the deviance without a proposed repair strategy.","In this paper, we presented an approach tackling conformance checking of log traces over data-aware Declare models. The proposed approach exploits Automated Planning for aligning the log traces and the reference model via a preliminary partitioning of the data space.",Formal science,Information systems engineering,Formal theory,Theory,Yes,No,No,,,Technique,Design (Science/Engineering),Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Synthetic data,0,0.0,0,,"Yes, in the paper",,"Yes, in the paper",,Technical Experiment,,,,None,,,,Yes,Yes,
61.0,YZ,MH,"A Discounted Cost Function for Fast
Alignments of Business Processes","Mathilde Boltenhagen, Thomas Chatain, Josep Carmona",https://doi.org/10.1007/978-3-030-85469-0_17,2021.0,Conformance Checking,not existing,not existing,"We demonstrate that, with a slightly modified version of the distance function between traces and model runs, we can significantly improve the execution time of an A*-based search algorithm. ","The current process mining field faces an interesting paradox: while it is widely accepted that capabilities exist to discover large process models, only approximate techniques for deriving alignments are used in practice for analyzing these models through conformance checking.","In this paper, we present a novel cost function for alignments. By leveraging the position of the moves, our discounted cost function penalizes deviations in business processes that occur at early stages of process execution.",Formal science,Information systems engineering,Formal theory,Theory,Yes,Yes,No,,,Algorithm,Formal Proof,Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Both,0,0.0,0,,"Yes, in the paper",,No,,Benchmark,Technical Experiment,,,None,,,,Yes,Yes,
62.0,YZ,MH,"Task Clustering Method Using User
Interaction Logs to Plan RPA
Introduction","Yuki Urabe, Sayaka Yagi, Kimio Tsuchikawa, Haruo Oishi ",https://doi.org/10.1007/978-3-030-85469-0_18,2021.0,Blockchain and Robotic Process Automation,"Business process analysis, User interaction log, Robotic process automation",not existing,"In this work, we propose a method that clusters UI logs into task types to help analyzers identify high-volume and repetitive tasks for RPA introduction.","User interaction (UI) logs consist of users’ activities performed on the computer and can be collected regardless of the business system or application to understand how employees work. However, it is difficult to understand the types and volumes of the executed tasks from such data because the task types are not recorded explicitly.","In this work, we introduced a method that clusters a UI log into a group of tasks to quantitatively discover the type of the tasks and their workload. Our aim with this method was to help analyzers clarify high-volume and repetitive tasks to make decisions for RPA introduction.",Information systems engineering,,Formal theory,Artefact,Yes,No,No,,,Method,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Both,0,0.0,0,,"Yes, in the paper",,"Yes, in the paper",,Technical Experiment,,,,None,,,,Yes,No,
63.0,YZ,MH,"From Symbolic RPA to Intelligent RPA:
Challenges for Developing and Operating
Intelligent Software Robots","Lukas-Valentin Herm, Christian Janiesch, Hajo A. Reijers,
and Franz Seubert",https://doi.org/10.1007/978-3-030-85469-0_19,2021.0,Blockchain and Robotic Process Automation,"Robotic process automation, Artificial intelligence, Symbolic RPA, Intelligent RPA, Challenges",RQ: Which challenges exist for the development and operation of software robots based,"This article explores the dichotomy between the practical reality of symbolic RPA, which requires handcrafting robots using process models and rulesets, and the promise of intelligent RPA, which relies on artificial intelligence technology to implement intelligent robots.","Since not every process is predestinated for RPA-based automation, identifying suitable processes can be quite difficult. Likewise, due to the symbolic character of current RPA practices, which means that it relies on handcrafted flow models and rulesets, the process of identification and development is still time-consuming and limited by the abilities of the involved designer.",We reviewed related challenges from the fields of symbolic RPA and AI (represented by ML and DL) and performed a literature review as well as an expert interview study to devise challenges that have the potential to shape the future discussion of intelligent RPA. ,Meta-analysis,Inductive study,Social science theory,Artefact,No,No,No,,,Report,Literature Analysis,Interviews,,,Real-world data,4,0.0,4,No,,"Yes, in the paper",Grounded Theory,Interview,,,Internal Validity,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
64.0,YZ,MH,"Process Mining on Blockchain Data:
A Case Study of Augur","Richard Hobeck, Christopher Klinkmüller, H. M. N. Dilum Bandara, Ingo Weber, Wil M. P. van der Aalst  ",https://doi.org/10.1007/978-3-030-85469-0_20,2021.0,Blockchain and Robotic Process Automation,"Blockchain, Process mining, Case study, Process discovery, Conformance checking, Ethereum",not existing,"This paper addresses this gap by presenting an in-depth case study of process mining on Augur, a popular Ethereum-based prediction and betting marketplace. Our study generated valuable insights for application redesign and security analysis, validated by the application’s chief architect, and identified blind spots in Augur’s white paper.","While researchers have recently developed techniques to tackle the challenging task of extracting authoritative data from blockchains to support the analysis of blockchain applications through process mining, there has been no clear evaluation of the utility of process mining applied to blockchain data.","In summary, we found clear evidence supporting the usefulness of process mining on blockchain data. Key areas of interest for software developers include user behavior analysis and security audits, for which we demonstrated the applicability of process mining tools.",Information systems engineering,,Formal theory,Artefact,No,No,No,,,Method,Design (Science/Engineering),Illustrative Example,,,Real-world data,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Report,Field Experiment,,,,Real-world data,,,,,"Yes, in the paper",,No,,Interview,,,,External Validity,Internal Validity,,,No,No,3rd Artefact: Prototype
65.0,YZ,MH,"Multivariate Business Process
Representation Learning Utilizing
Gramian Angular Fields and
Convolutional Neural Networks","Peter Pfeiffer, Johannes Lahann, Peter Fettke",https://doi.org/10.1007/978-3-030-85469-0_21,2021.0,Process and Resource Analytics,"Predictive process analytics, Representation learning, Multi-view learning",not existing,"In this paper, we propose a novel approach for representation learning of business process instances which can process and combine most perspectives in an event log.","Due to the large variety of perspectives and types within business process data, generating a good representation is a challenging task.","In this work, we have proposed a novel approach for multivariate business process representation learning utilizing gramian angular fields and convolutional neural networks. MPPN is a generic method that generates multi-purpose vector representations by exposing important characteristics of process instances without the need for manually labeled data. ",Information systems engineering,,Formal theory,Artefact,Yes,No,No,,,Design concept,Design (Science/Engineering),Illustrative Example,,,Undefined,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Real-world data,0,0.0,0,,"Yes, in the paper",,"Yes, in the paper",,Benchmark,Technical Experiment,,,None,,,,Yes,Yes,
66.0,YZ,MH,"Seeing the Forest for the Trees:
Group-Oriented Workforce Analytics","Jing Yang, Chun Ouyang, Arthur H. M. ter Hofstede,
Wil M. P. van der Aalst, Michael Leyer",https://doi.org/10.1007/978-3-030-85469-0_22,2021.0,Process and Resource Analytics,"Workforce analytics, Resource groups, Process mining, Event logs, Visual analytics",[H]ow to utilize process execution data for analyzing the behavior of resource groups working in business processes?,"This paper proposes a novel notion of work profiles of resource groups, informed by management literature, for characterizing resource group behavior from multiple aspects relevant to workforce performance.","Workforce analytics brings data-driven methods to organizations for deriving insights from employee-related data and supports decision making. However, it faces an open challenge of lacking the capability to analyze the behavior of employee groups to understand organizational performance. ",Our study is inspired by research on analyzing resource group characteristics and on mining individual resource behavior. [...]  It allows the use of a minimum of information from event logs to enable relevant workforce analysis on the group level and describes how visual analytics can be used to support the analysis.,Information systems engineering,,Social science theory,Artefact,Yes,No,No,,,Method,Design (Science/Engineering),,,,,,,,No,,No,Verification,,,,None,,,,Yes,Yes,Tool implementation,Design (Science/Engineering),,,,Real-world data,0,0.0,0,,"Yes, in the paper",,No,,Technical Experiment,,,,None,,,,Yes,Yes,
67.0,YZ,MH,"A Case Study of Inconsistency in Process Mining
Use: Implications for the Theory of Effective Use","Rebekah Eden, Rehan Syed, Sander J. J. Leemans, Joos A. C. M. Buijs",https://doi.org/10.1007/978-3-030-85469-0_23,2021.0,Process and Resource Analytics,not existing,"What is the role of inconsistency-in-use in the effective use of process
mining?","Through a qualitative case study, we examined the effective use of process mining (an analytical technique underpinning business intelligence), whereby inconsistency-in-use emerged as salient.","Responding to recent and repeated calls in literature, we sought to understand the effective use of business intelligence systems, specifically process mining. The intersection between effective use and business intelligence is pertinent to practice, as these systems do not automatically result in improved organizational outcomes; rather, they must first be effectively used. ","In analyzing these types of inconsistencies, we reveal important implications for the theory of effective use. This research contributes to both the information systems and process mining domains and is one of the first attempts to bridge these two areas.",Scientific study,,Social science theory,Artefact,No,No,No,,,Report,Case Study,Interviews,Illustrative Example,,Real-world data,,,,"Yes, in the paper",,No,Grounded Theory,,,,None,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
68.0,YZ,MH,"A Robust and Accurate Approach to
Detect Process Drifts from Event Streams","Yang Lu, Qifan Chen, Simon Poon",https://doi.org/10.1007/978-3-030-85469-0_24,2021.0,Concept Drift and Anomaly Detection from Event Logs,"Process science, Data science, Process mining, Concept drift detection",not existing,"An effective process drift detection method should be accurate, fast, and robust to noise. In this paper, we propose an offline process drift detection method that identifies each newly observed behavior as a candidate drift point and checks if the new behavior signifies significant changes to the original process behaviors.","Current process drift detection methods perform well on clean event log data, but performance can be significantly affected by noise.","In this paper, we propose a new process drift detection method capable of accurately locating process drift points. Identifying valid drifts enables subsequent comparative analysis for process improvement. Additionally, accurate drift detection results can serve as input for process drift characterization methods to generate more precise outcomes.",Information systems engineering,,Formal theory,Artefact,Yes,Yes,No,,,Method,Design (Science/Engineering),,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Both,0,0.0,0,,"Yes, in the paper",,"Yes, in the paper",,Technical Experiment,Benchmark,,,None,,,,Yes,Yes,
69.0,YZ,MH,"A Framework for Explainable Concept
Drift Detection in Process Mining","Jan Niklas Adams, Sebastiaan J. van Zelst, Lara Quack,
Kathrin Hausmann, Wil M.P. van der Aalst, Thomas Rose",https://doi.org/10.1007/978-3-030-85469-0_25,2021.0,Concept Drift and Anomaly Detection from Event Logs,"Process mining, Concept drift, Cause-eﬀect analysis",not existing,"In this paper, we aim to close this gap. We propose a framework that adds an explainability level onto concept drift detection in process mining and provides insights into the cause-effect relationships behind significant changes.",This uncertainty manifests itself in significant changes that tend to occur over the lifetime of a process and possibly affect its performance. It is important to understand the root causes of such changes since this allows us to react to change or anticipate future changes.,"In this paper, we combine concept drift detection and cause-effect analysis to create a framework for explainable concept drift detection.",Information systems engineering,,Formal theory,Artefact,Yes,No,No,,,Framework,Design (Science/Engineering),,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Both,,,,,"Yes, in the paper",,"Yes, in the paper",,Technical Experiment,,,,None,,,,Yes,Yes,
70.0,YZ,MH,"Graph Autoencoders for Business Process
Anomaly Detection","Siyu Huo, Hagen Völzer, Prabhat Reddy, Prerna Agarwal,
Vatche Isahagian, Vinod Muthusamy",https://doi.org/10.1007/978-3-030-85469-0_26,2021.0,Concept Drift and Anomaly Detection from Event Logs,not existing,not existing,We propose an approach to identify anomalies in business processes by building an anomaly detector using graph encodings of process event log data coupled with graph autoencoders.,"Earlier work has applied multilayer perceptron-based autoencoders, variational autoencoders and LSTM-based autoencoders to business process anomaly detection and showed that they outperform other methods, such as t-STIDE, OC-SVM, HMM, and Likelihood in terms of accuracy, noise endurance, and generalizability. However, their absolute performance is still limited leaving substantial room for improvement.","In this paper, we propose a new graph autoencoder approach for anomaly detection in business process event logs. Unlike existing methods, we construct a graph for each log trace and apply a graph encoding to capture structural process information.",Information systems engineering,,Formal theory,Artefact,Yes,No,No,,,Method,Design (Science/Engineering),Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,No,Prototype,None,,,,Both,0,0.0,0,,"Yes, in the paper","Yes, in the paper","Yes, in the paper",,Benchmark,Motivating Example,,,None,,,,Yes,No,
71.0,YZ,MH,"Drivers and Barriers of the Digital Innovation
Process – Case Study Insights from a German
Public University","Emil Kleider, Thomas Kreuzer, Benedict Lösser, Anna Maria Oberländer, Torsten Eymann",https://doi.org/10.1007/978-3-030-85469-0_27,2021.0,Digital Innovation and Process Improvement,"Digital innovation, Digital innovation process, Process innovation, Public university, Case study",How do public universities enact the DI process and what are related drivers and barriers?,"Against this backdrop, our study aims to enhance the understanding of the DI process at public universities by providing a structured overview of corresponding drivers and barriers through an exploratory single case study.","While society expects universities to lead DI efforts, the successful development and implementation of DIs, particularly in administration and management contexts, remains a challenge.","Regarding managerial implications, our work provides public universities with valuable insights into possible drivers and barriers of their DI process.",Scientific study,,Social science theory,Theory,No,No,No,,,Report,Illustrative Example,Interviews,,,Real-world data,12,0.0,12,No,,No,Grounded Theory,,,,Internal Validity,External Validity,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
72.0,YZ,MH,"A Stakeholder Engagement Model for Process
Improvement Initiatives","Charon Abbott, Wasana Bandara, Erica French, Mary Tate, Paul Mathiesen",https://doi.org/10.1007/978-3-030-85469-0_28,2021.0,Digital Innovation and Process Improvement,"Process improvement, Stakeholder engagement, Stakeholder theory, Case study, Robotic Process Automation, RPA, Organizational change",What factors influence the engagement of stakeholders when undertaking BPM projects?,This study presents the first empirically supported framework of stakeholder engagement factors for process improvement projects.,"Developing a comprehensive understanding of what factors influence stakeholder engagement is the first step towards addressing this. While diverse factors are briefly mentioned in prior literature, there has not been any holistic synthesis nor empirical investigation to this.","The holistic model presented in this paper provides a framework for further consideration of factors influencing stakeholder engagement in BPM projects. It provides a broad ‘landscape’ (i.e., a holistic view showing different layers of systems) of stakeholder engagement for BPM projects which could be consulted by the practitioner to ensure all relevant system levels have been considered.",Inductive study,Meta-analysis,Social science theory,Both,No,No,No,,,Report,Illustrative Example,Interviews,Literature Analysis,,Real-world data,9,0.0,9,No,,"Yes, in the paper",Focus Group,,,,None,,,,No,No,,,,,,,,,,,,,,,,,,,,,,,,,
73.0,YZ,MH,"Extending Temporal Business Constraints
with Uncertainty","Fabrizio Maria Maggi, Marco Montali, Rafael Peñaloza, Anti Alman",https://doi.org/10.1007/978-3-030-58666-9_3,2020.0,Foundations,"Declarative process models, Temporal logics, Process mining, Probabilistic process monitoring, Probabilistic conformance checking",not existing,"In this paper, we tackle this timely and important challenge, relying on recent results on probabilistic temporal logics over finite traces.","However, traditionally, constraints are interpreted logically in a crisp way: a process execution trace conforms with a constraint model if all the constraints therein are satisfied. This is too restrictive when one wants to capture best practices, constraints involving uncontrollable activities, and exceptional but still conforming behaviors.","The framework classifies completed traces as violating a given probabilistic model or as belonging to a certain constraint scenario (i.e., satisfying a certain combination of probabilistic constraints).",Formal science,Information systems engineering,Formal theory,Theory,Yes,No,"Yes, assumption",,,Technique,Formal Proof,Illustrative Example,,,Mathematical formulae,,,,"Yes, in the paper",,No,Verification,,,,None,,,,Yes,Yes,Prototype,Design (Science/Engineering),,,,Undefined,,,,,No,,No,,Motivating Example,,,,None,,,,Yes,Yes,
